iter	Passed	Remaining
0	34	13599
1	66	13276
2	96	12800
3	126	12512
4	156	12393
5	184	12147
6	216	12168
7	246	12056
8	275	11980
9	306	11963
10	337	11927
11	368	11918
12	398	11855
13	430	11866
14	460	11823
15	492	11817
16	523	11796
17	555	11782
18	586	11763
19	617	11738
20	647	11684
21	676	11629
22	707	11594
23	736	11542
24	766	11501
25	796	11463
26	828	11450
27	859	11423
28	891	11401
29	921	11369
30	951	11321
31	981	11282
32	1011	11245
33	1039	11193
34	1069	11154
35	1100	11126
36	1131	11097
37	1161	11064
38	1192	11034
39	1223	11009
40	1253	10976
41	1282	10931
42	1314	10910
43	1344	10877
44	1375	10854
45	1405	10813
46	1435	10778
47	1465	10746
48	1494	10704
49	1524	10674
50	1555	10647
51	1587	10626
52	1619	10601
53	1652	10585
54	1684	10565
55	1714	10533
56	1744	10495
57	1774	10460
58	1804	10427
59	1835	10398
60	1866	10370
61	1896	10341
62	1927	10309
63	1958	10282
64	1988	10246
65	2019	10219
66	2051	10196
67	2081	10161
68	2111	10129
69	2142	10102
70	2172	10068
71	2203	10040
72	2235	10014
73	2265	9979
74	2295	9946
75	2325	9915
76	2356	9886
77	2387	9854
78	2422	9844
79	2456	9826
80	2488	9799
81	2519	9769
82	2548	9733
83	2579	9704
84	2611	9679
85	2642	9647
86	2675	9626
87	2706	9596
88	2736	9562
89	2767	9532
90	2798	9502
91	2829	9472
92	2860	9442
93	2890	9410
94	2921	9380
95	2951	9347
96	2982	9315
97	3011	9281
98	3042	9249
99	3072	9216
100	3102	9183
101	3131	9149
102	3163	9120
103	3195	9094
104	3229	9073
105	3262	9047
106	3292	9015
107	3323	8986
108	3353	8953
109	3386	8927
110	3417	8896
111	3446	8863
112	3478	8834
113	3508	8803
114	3536	8764
115	3566	8732
116	3598	8703
117	3628	8671
118	3660	8642
119	3691	8614
120	3724	8588
121	3759	8566
122	3792	8540
123	3825	8513
124	3856	8484
125	3888	8455
126	3921	8429
127	3953	8400
128	3991	8384
129	4025	8359
130	4058	8334
131	4091	8306
132	4124	8279
133	4157	8252
134	4190	8226
135	4224	8200
136	4262	8182
137	4294	8153
138	4327	8125
139	4359	8096
140	4392	8068
141	4425	8041
142	4461	8017
143	4493	7988
144	4527	7961
145	4558	7931
146	4592	7904
147	4626	7878
148	4660	7850
149	4693	7822
150	4727	7795
151	4761	7769
152	4795	7742
153	4831	7717
154	4865	7691
155	4897	7660
156	4930	7631
157	4964	7603
158	4998	7575
159	5035	7552
160	5070	7527
161	5103	7497
162	5135	7466
163	5168	7437
164	5200	7406
165	5232	7376
166	5267	7348
167	5299	7317
168	5332	7288
169	5365	7258
170	5399	7230
171	5433	7202
172	5467	7173
173	5499	7143
174	5534	7115
175	5568	7087
176	5600	7055
177	5634	7027
178	5667	6997
179	5701	6968
180	5735	6940
181	5769	6910
182	5801	6879
183	5833	6848
184	5869	6820
185	5902	6790
186	5937	6762
187	5970	6732
188	6004	6703
189	6037	6673
190	6074	6646
191	6108	6617
192	6140	6586
193	6175	6557
194	6208	6527
195	6241	6496
196	6275	6466
197	6309	6437
198	6342	6405
199	6375	6375
200	6409	6345
201	6442	6314
202	6475	6283
203	6508	6252
204	6541	6222
205	6574	6191
206	6607	6160
207	6639	6128
208	6672	6097
209	6705	6066
210	6738	6036
211	6772	6006
212	6806	5975
213	6840	5945
214	6874	5915
215	6907	5884
216	6939	5852
217	6971	5820
218	7004	5789
219	7039	5759
220	7072	5728
221	7105	5697
222	7138	5665
223	7171	5634
224	7206	5604
225	7238	5573
226	7271	5541
227	7306	5511
228	7340	5481
229	7374	5450
230	7407	5418
231	7441	5388
232	7474	5356
233	7507	5325
234	7540	5294
235	7572	5262
236	7605	5231
237	7638	5199
238	7671	5167
239	7707	5138
240	7740	5106
241	7772	5074
242	7806	5043
243	7842	5013
244	7875	4982
245	7909	4951
246	7942	4919
247	7974	4887
248	8007	4856
249	8040	4824
250	8074	4793
251	8110	4763
252	8143	4731
253	8176	4699
254	8208	4667
255	8243	4636
256	8275	4604
257	8308	4572
258	8340	4540
259	8373	4509
260	8406	4477
261	8440	4445
262	8474	4414
263	8507	4382
264	8541	4351
265	8574	4319
266	8606	4287
267	8638	4254
268	8672	4223
269	8707	4192
270	8740	4160
271	8774	4129
272	8807	4097
273	8839	4064
274	8872	4033
275	8906	4001
276	8939	3969
277	8972	3937
278	9005	3905
279	9039	3873
280	9074	3842
281	9108	3811
282	9141	3779
283	9174	3747
